Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2001 Q3	West Palm Beach, FL	6%	585	-1%
2001 Q2	National	7%	29,639	-3%
2001 Q2	Anaheim, CA	4%	544	-8%
2001 Q2	Atlanta, GA	10%	2,211	-2%
2001 Q2	Baltimore, MD	7%	792	-15%
2001 Q2	Charlotte, NC	8%	632	+2%
2001 Q2	Chicago, IL	5%	1,365	+20%
2001 Q2	Cincinnati, OH	7%	588	-29%
2001 Q2	Cleveland, OH	8%	627	+4%
2001 Q2	Columbus, OH	7%	569	-21%
2001 Q2	Denver, CO	6%	872	+7%
2001 Q2	Fort Lauderdale, FL	7%	1,010	+41%
2001 Q2	Jacksonville, FL	9%	520	-6%
2001 Q2	Las Vegas, NV	9%	768	-20%
2001 Q2	Los Angeles, CA	5%	1,364	+1%
2001 Q2	Miami, FL	9%	1,170	+4%
2001 Q2	Milwaukee, WI	6%	311	+6%
2001 Q2	Minneapolis, MN	6%	664	-22%
2001 Q2	Montgomery County, PA	3%	196	+20%
2001 Q2	Nashville, TN	6%	467	+19%
2001 Q2	New Brunswick, NJ	5%	461	-11%
2001 Q2	New York, NY	9%	1,461	-22%
2001 Q2	Newark, NJ	6%	391	-13%
2001 Q2	Oakland, CA	4%	323	-29%
2001 Q2	Orlando, FL	9%	847	+6%
2001 Q2	Philadelphia, PA	5%	305	-19%
2001 Q2	Phoenix, AZ	10%	2,253	+12%
2001 Q2	Portland, OR	4%	403	-28%
2001 Q2	Providence, RI	4%	241	+12%
2001 Q2	Riverside, CA	7%	1,153	-25%
2001 Q2	Sacramento, CA	6%	567	-20%
2001 Q2	San Diego, CA	6%	705	-13%
2001 Q2	San Francisco, CA	5%	146	-29%
2001 Q2	San Jose, CA	3%	134	-44%
2001 Q2	Seattle, WA	3%	370	-12%
2001 Q2	Tampa, FL	8%	1,301	+3%
2001 Q2	Virginia Beach, VA	7%	456	
2001 Q2	Warren, MI	10%	1,003	-4%
2001 Q2	Washington, DC	4%	837	+10%
2001 Q2	West Palm Beach, FL	6%	662	+16%
2001 Q1	National	8%	25,423	+0%
2001 Q1	Anaheim, CA	5%	420	+23%
2001 Q1	Atlanta, GA	11%	1,790	+1%
2001 Q1	Baltimore, MD	9%	667	-7%
2001 Q1	Charlotte, NC	9%	480	-3%
2001 Q1	Chicago, IL	6%	1,008	+10%
2001 Q1	Cincinnati, OH	9%	477	-31%
2001 Q1	Cleveland, OH	9%	444	-6%
2001 Q1	Columbus, OH	8%	392	-38%
2001 Q1	Denver, CO	7%	741	+17%
2001 Q1	Fort Lauderdale, FL	8%	856	+27%
2001 Q1	Jacksonville, FL	13%	521	+9%
2001 Q1	Las Vegas, NV	10%	583	-26%
2001 Q1	Los Angeles, CA	6%	1,151	+4%
2001 Q1	Miami, FL	11%	1,041	+0%
2001 Q1	Milwaukee, WI	7%	250	+14%
2001 Q1	Minneapolis, MN	6%	575	-30%
2001 Q1	Montgomery County, PA	3%	156	+8%
2001 Q1	Nashville, TN	7%	427	+20%
2001 Q1	New Brunswick, NJ	6%	474	-10%
2001 Q1	New York, NY	10%	1,878	-6%
2001 Q1	Newark, NJ	7%	393	-18%
2001 Q1	Oakland, CA	4%	297	-33%
2001 Q1	Orlando, FL	10%	662	+0%
2001 Q1	Philadelphia, PA	6%	280	-16%
2001 Q1	Phoenix, AZ	11%	1,866	+3%
2001 Q1	Portland, OR	4%	284	-44%
2001 Q1	Providence, RI	5%	172	-8%
2001 Q1	Riverside, CA	8%	998	-11%
2001 Q1	Sacramento, CA	6%	503	-1%
2001 Q1	San Diego, CA	6%	506	-7%
2001 Q1	San Francisco, CA	6%	140	-21%
2001 Q1	San Jose, CA	4%	131	-44%
2001 Q1	Seattle, WA	4%	321	+10%
2001 Q1	Tampa, FL	8%	1,030	-4%
2001 Q1	Virginia Beach, VA	9%	394	
2001 Q1	Warren, MI	9%	958	-13%
2001 Q1	Washington, DC	5%	693	+26%
2001 Q1	West Palm Beach, FL	7%	527	-5%
2000 Q4	National	7%	26,805	
2000 Q4	Anaheim, CA	4%	448	
2000 Q4	Atlanta, GA	10%	1,896	
2000 Q4	Baltimore, MD	7%	674	
2000 Q4	Charlotte, NC	8%	521	
2000 Q4	Chicago, IL	5%	1,092	
2000 Q4	Cincinnati, OH	9%	589	
2000 Q4	Cleveland, OH	9%	563	
2000 Q4	Columbus, OH	7%	432	
2000 Q4	Denver, CO	6%	809	
2000 Q4	Fort Lauderdale, FL	7%	781	
2000 Q4	Jacksonville, FL	11%	504	
2000 Q4	Las Vegas, NV	9%	476	
2000 Q4	Los Angeles, CA	5%	1,302	
2000 Q4	Miami, FL	10%	1,069	
2000 Q4	Milwaukee, WI	5%	246	
2000 Q4	Minneapolis, MN	5%	658	
2000 Q4	Montgomery County, PA	3%	204	
2000 Q4	Nashville, TN	5%	334	
2000 Q4	New Brunswick, NJ	5%	499	
2000 Q4	New York, NY	9%	1,610	
2000 Q4	Newark, NJ	7%	514	
2000 Q4	Oakland, CA	3%	332	
2000 Q4	Orlando, FL	9%	756	
2000 Q4	Philadelphia, PA	6%	322	
2000 Q4	Phoenix, AZ	13%	2,127	
2000 Q4	Portland, OR	4%	274	
2000 Q4	Providence, RI	4%	205	
2000 Q4	Riverside, CA	7%	983	
2000 Q4	Sacramento, CA	6%	540	
2000 Q4	San Diego, CA	5%	557	
2000 Q4	San Francisco, CA	3%	119	
2000 Q4	San Jose, CA	3%	169	
2000 Q4	Seattle, WA	3%	309	
2000 Q4	Tampa, FL	7%	1,055	
2000 Q4	Virginia Beach, VA	7%	320	
2000 Q4	Warren, MI	9%	1,076	
2000 Q4	Washington, DC	4%	720	
2000 Q4	West Palm Beach, FL	7%	660	
2000 Q3	National	6%	28,325	
2000 Q3	Anaheim, CA	4%	506	
2000 Q3	Atlanta, GA	9%	2,155	
2000 Q3	Baltimore, MD	7%	709	
2000 Q3	Charlotte, NC	8%	555	
2000 Q3	Chicago, IL	4%	1,220	
2000 Q3	Cincinnati, OH	8%	763	
2000 Q3	Cleveland, OH	7%	592	
2000 Q3	Columbus, OH	10%	874	
2000 Q3	Denver, CO	6%	875	
2000 Q3	Fort Lauderdale, FL	6%	772	
2000 Q3	Jacksonville, FL	10%	538	
2000 Q3	Las Vegas, NV	8%	660	
2000 Q3	Los Angeles, CA	4%	1,281	
2000 Q3	Miami, FL	11%	1,175	
2000 Q3	Milwaukee, WI	5%	272	
2000 Q3	Minneapolis, MN	5%	666	
2000 Q3	Montgomery County, PA	3%	229	
2000 Q3	Nashville, TN	5%	383	
2000 Q3	New Brunswick, NJ	5%	579	
2000 Q3	New York, NY	9%	1,846	
2000 Q3	Newark, NJ	5%	447	
2000 Q3	Oakland, CA	3%	370	
2000 Q3	Orlando, FL	9%	769	
2000 Q3	Philadelphia, PA	4%	272	
2000 Q3	Phoenix, AZ	10%	1,801	
2000 Q3	Portland, OR	4%	359	
2000 Q3	Providence, RI	4%	211	
2000 Q3	Riverside, CA	7%	1,169	
2000 Q3	Sacramento, CA	5%	506	
2000 Q3	San Diego, CA	5%	536	
2000 Q3	San Francisco, CA	3%	148	
2000 Q3	San Jose, CA	3%	183	
2000 Q3	Seattle, WA	3%	377	
2000 Q3	Tampa, FL	7%	1,083	
2000 Q3	Warren, MI	8%	1,192	
2000 Q3	Washington, DC	4%	771	
2000 Q3	West Palm Beach, FL	6%	589	
2000 Q2	National	7%	30,643	
2000 Q2	Anaheim, CA	5%	594	
2000 Q2	Atlanta, GA	10%	2,262	
2000 Q2	Baltimore, MD	8%	931	
2000 Q2	Charlotte, NC	8%	618	
2000 Q2	Chicago, IL	4%	1,142	
2000 Q2	Cincinnati, OH	9%	827	
2000 Q2	Cleveland, OH	7%	600	
2000 Q2	Columbus, OH	8%	717	
2000 Q2	Denver, CO	5%	814	
2000 Q2	Fort Lauderdale, FL	6%	717	
2000 Q2	Jacksonville, FL	10%	555	
2000 Q2	Las Vegas, NV	10%	960	
2000 Q2	Los Angeles, CA	4%	1,349	
2000 Q2	Miami, FL	10%	1,120	
2000 Q2	Milwaukee, WI	5%	293	
2000 Q2	Minneapolis, MN	6%	850	
2000 Q2	Montgomery County, PA	2%	164	
2000 Q2	Nashville, TN	5%	391	
2000 Q2	New Brunswick, NJ	5%	516	
2000 Q2	New York, NY	9%	1,871	
2000 Q2	Newark, NJ	6%	452	
2000 Q2	Oakland, CA	4%	453	
2000 Q2	Orlando, FL	8%	797	
2000 Q2	Philadelphia, PA	6%	376	
2000 Q2	Phoenix, AZ	10%	2,011	
2000 Q2	Portland, OR	6%	562	
2000 Q2	Providence, RI	4%	215	
2000 Q2	Riverside, CA	9%	1,537	
2000 Q2	Sacramento, CA	7%	706	
2000 Q2	San Diego, CA	6%	811	
2000 Q2	San Francisco, CA	5%	205	
2000 Q2	San Jose, CA	4%	240	
2000 Q2	Seattle, WA	4%	422	
2000 Q2	Tampa, FL	8%	1,259	
2000 Q2	Warren, MI	8%	1,050	
2000 Q2	Washington, DC	4%	759	
2000 Q2	West Palm Beach, FL	6%	571	
2000 Q1	National	7%	25,402	
2000 Q1	Anaheim, CA	4%	341	
2000 Q1	Atlanta, GA	11%	1,781	
2000 Q1	Baltimore, MD	10%	716	
2000 Q1	Charlotte, NC	8%	494	
2000 Q1	Chicago, IL	6%	913	
2000 Q1	Cincinnati, OH	11%	687	
2000 Q1	Cleveland, OH	9%	470	
2000 Q1	Columbus, OH	11%	636	
2000 Q1	Denver, CO	6%	632	
2000 Q1	Fort Lauderdale, FL	7%	673	
2000 Q1	Jacksonville, FL	12%	477	
2000 Q1	Las Vegas, NV	10%	784	
2000 Q1	Los Angeles, CA	5%	1,112	
2000 Q1	Miami, FL	11%	1,037	
2000 Q1	Milwaukee, WI	6%	220	
2000 Q1	Minneapolis, MN	9%	825	
2000 Q1	Montgomery County, PA	3%	145	
2000 Q1	Nashville, TN	6%	357	
2000 Q1	New Brunswick, NJ	6%	524	
2000 Q1	New York, NY	10%	2,007	
2000 Q1	Newark, NJ	8%	481	
2000 Q1	Oakland, CA	5%	444	
2000 Q1	Orlando, FL	9%	664	
2000 Q1	Philadelphia, PA	7%	334	
2000 Q1	Phoenix, AZ	11%	1,811	
2000 Q1	Portland, OR	7%	508	
2000 Q1	Providence, RI	5%	186	
2000 Q1	Riverside, CA	8%	1,120	
2000 Q1	Sacramento, CA	7%	507	
2000 Q1	San Diego, CA	5%	542	
2000 Q1	San Francisco, CA	5%	178	
2000 Q1	San Jose, CA	4%	232	
2000 Q1	Seattle, WA	3%	293	
2000 Q1	Tampa, FL	9%	1,070	
2000 Q1	Warren, MI	9%	1,099	
2000 Q1	Washington, DC	5%	548	
2000 Q1	West Palm Beach, FL	7%	554	
